generation,best_penalty,average_penalty
1081,46.0,86.0
1082,46.0,78.0
1083,46.0,84.0
1084,46.0,71.0
1085,46.0,70.0
1086,46.0,67.0
1087,46.0,82.0
1088,46.0,78.0
1089,46.0,87.0
1090,46.0,83.0
1091,46.0,72.0
1092,46.0,77.0
1093,46.0,73.0
1094,46.0,80.0
1095,46.0,98.0
1096,46.0,87.0
1097,46.0,75.0
1098,46.0,90.0
1099,46.0,87.0
1100,46.0,79.0
1101,46.0,84.0
1102,46.0,76.0
1103,46.0,79.0
1104,46.0,85.0
1105,46.0,82.0
1106,46.0,88.0
1107,46.0,90.0
1108,46.0,71.0
1109,46.0,87.0
1110,46.0,78.0
1111,46.0,80.0
1112,46.0,102.0
1113,46.0,95.0
1114,46.0,106.0
1115,46.0,84.0
1116,46.0,83.0
1117,46.0,88.0
1118,46.0,89.0
1119,46.0,82.0
1120,46.0,89.0
1121,46.0,90.0
1122,46.0,80.0
1123,46.0,95.0
1124,46.0,73.0
1125,46.0,84.0
1126,46.0,81.0
1127,46.0,82.0
1128,46.0,82.0
1129,46.0,104.0
1130,46.0,87.0
1131,46.0,82.0
1132,46.0,83.0
1133,46.0,76.0
1134,46.0,88.0
1135,46.0,95.0
1136,46.0,77.0
1137,46.0,80.0
1138,46.0,78.0
1139,46.0,77.0
1140,46.0,83.0
1141,46.0,69.0
1142,46.0,70.0
1143,46.0,77.0
1144,46.0,84.0
1145,46.0,74.0
1146,46.0,81.0
1147,46.0,66.0
1148,46.0,79.0
1149,46.0,84.0
1150,46.0,101.0
1151,46.0,87.0
1152,46.0,76.0
1153,46.0,79.0
1154,46.0,74.0
1155,46.0,82.0
1156,46.0,80.0
1157,46.0,80.0
1158,46.0,87.0
1159,46.0,91.0
1160,46.0,75.0
1161,46.0,86.0
1162,46.0,103.0
1163,46.0,73.0
1164,46.0,82.0
1165,46.0,82.0
1166,46.0,79.0
1167,46.0,87.0
1168,46.0,84.0
1169,46.0,81.0
1170,46.0,83.0
1171,46.0,87.0
1172,46.0,89.0
1173,46.0,92.0
1174,46.0,86.0
1175,46.0,92.0
1176,46.0,90.0
1177,46.0,103.0
1178,46.0,92.0
1179,46.0,82.0
1180,46.0,91.0
1181,46.0,98.0
1182,46.0,92.0
1183,46.0,86.0
1184,46.0,96.0
1185,46.0,95.0
1186,46.0,91.0
1187,46.0,97.0
1188,46.0,85.0
1189,46.0,88.0
1190,46.0,92.0
1191,46.0,101.0
1192,46.0,83.0
1193,46.0,88.0
1194,46.0,71.0
1195,46.0,79.0
1196,46.0,79.0
1197,46.0,79.0
1198,46.0,84.0
1199,46.0,78.0
1200,46.0,71.0
1201,46.0,92.0
1202,46.0,72.0
1203,46.0,71.0
1204,46.0,68.0
1205,46.0,67.0
1206,46.0,93.0
1207,46.0,68.0
1208,46.0,107.0
1209,46.0,92.0
